Point Mass X,Point Mass Y,Fixed Point 1 X,Fixed Point 1 Y,Fixed Point 2 X,Fixed Point 2 Y,Fixed Point 3 X,Fixed Point 3 Y,Convergence Point,Convergence Time
29,15,25,78,30,62,18,73,1,0.8952860832214355
28,86,18,68,65,94,12,42,0,0.3804936408996582
80,24,33,84,75,100,80,66,0,0.9084262847900391
10,20,90,82,87,34,23,11,2,0.07610201835632324
45,17,32,88,61,65,85,31,2,1.9937012195587158
80,43,40,97,10,5,12,71,0,2.3697543144226074
32,41,49,52,26,93,52,34,0,0.22742986679077148
74,68,55,48,86,51,25,40,1,0.2679884433746338
74,19,40,24,75,67,5,51,2,0.49131011962890625
37,82,13,0,17,73,83,7,1,0.11565184593200684
10,100,46,23,54,22,2,41,1,1.3567698001861572
50,97,90,79,59,1,52,33,0,0.62894606590271
83,25,95,91,75,98,33,33,0,0.720515251159668
37,41,68,7,76,45,73,8,2,0.8047285079956055
25,75,51,39,4,40,78,64,2,0.43270277976989746
0,16,48,46,86,26,12,7,2,0.07210087776184082
77,41,52,68,14,7,4,71,1,0.8218505382537842
97,95,7,72,20,42,43,60,0,0.870736837387085
77,97,4,75,82,71,51,39,1,0.6528918743133545
95,33,71,80,39,67,45,74,2,1.5789148807525635
32,12,61,97,67,53,22,54,1,0.9764237403869629
100,58,8,55,68,1,16,93,0,1.5428972244262695
82,55,51,7,91,15,27,30,0,2.1030359268188477
22,100,8,6,29,10,22,67,2,0.1704728603363037
96,25,20,35,11,29,45,63,0,2.9527525901794434
29,22,53,72,45,23,76,21,1,0.07213735580444336
52,16,89,52,73,24,79,12,1,0.3924448490142822
27,29,93,84,71,45,85,97,2,0.704214334487915
19,29,28,51,77,18,75,52,0,0.3414764404296875
10,73,37,72,12,37,3,90,2,0.35895609855651855
93,78,50,87,34,36,77,95,1,1.5854356288909912
84,55,93,99,49,31,51,31,1,0.6771581172943115
0,3,98,9,84,81,49,77,1,0.5974483489990234
49,38,15,1,21,21,94,64,0,0.8821537494659424
17,27,24,35,39,81,80,40,0,0.04764509201049805
50,46,50,93,65,27,54,72,2,0.4280362129211426
89,91,43,16,11,11,42,87,2,0.7420036792755127
21,1,94,43,74,75,65,79,1,1.534703254699707
17,85,58,96,67,40,48,38,2,0.6060965061187744
54,90,91,58,79,60,11,81,1,0.48398470878601074
39,15,75,13,13,1,9,63,1,0.2263166904449463
85,20,76,85,89,80,85,56,2,0.16251158714294434
9,6,42,69,46,25,73,35,1,0.9313547611236572
15,84,0,56,74,61,87,57,0,0.7239651679992676
38,100,22,97,13,86,69,67,1,0.4742875099182129
64,56,9,82,79,6,84,32,2,1.085017204284668
55,71,17,62,53,4,40,6,0,0.5517585277557373
31,13,52,61,45,8,67,60,1,0.07428932189941406
49,34,55,86,89,15,81,53,2,0.812969446182251
96,57,42,44,91,39,5,7,1,0.09234285354614258
26,19,29,89,78,22,37,45,0,0.27034807205200195
73,55,97,84,84,50,23,56,1,0.059715986251831055
8,31,20,17,67,33,100,11,0,0.08985590934753418
41,73,24,22,2,8,74,40,0,1.5474247932434082
52,71,10,92,23,49,100,30,1,1.0760672092437744
27,17,27,77,80,10,61,6,2,0.4993326663970947
100,1,64,60,20,84,29,68,2,2.7617928981781006
65,7,84,66,37,36,82,5,2,0.21624398231506348
40,36,37,52,41,78,9,25,0,0.07880854606628418
88,17,24,96,91,53,79,75,1,0.8483459949493408
28,24,9,62,2,57,30,46,1,0.3025648593902588
26,81,32,31,72,70,69,71,1,0.7823247909545898
52,45,54,44,82,32,27,74,0,0.005533456802368164
40,5,1,87,29,31,18,86,1,0.14125728607177734
68,43,97,57,16,64,8,62,0,1.4660847187042236
74,46,40,58,36,78,68,75,0,0.37611865997314453
53,15,50,52,51,97,75,53,1,0.2787814140319824
11,93,5,6,52,78,77,30,1,3.7197391986846924
59,49,94,100,2,84,63,43,2,0.03322029113769531
36,33,28,93,46,51,57,55,1,0.0845940113067627
34,62,94,95,9,6,64,7,2,1.8775928020477295
68,47,62,12,98,77,72,57,2,0.05213189125061035
83,31,87,22,58,91,81,70,0,0.04979205131530762
79,23,4,42,100,77,65,15,2,0.08310151100158691
41,77,18,7,15,25,79,48,0,1.4357709884643555
22,68,33,0,27,5,98,50,0,1.160576581954956
96,57,77,50,66,92,25,82,0,0.2966187000274658
58,2,76,85,11,65,76,81,0,1.4208135604858398
44,44,79,58,79,79,93,70,1,0.4751114845275879
39,2,92,2,4,53,14,19,1,0.7179756164550781
51,89,72,49,65,13,24,9,0,1.060424566268921
97,63,91,22,67,20,88,57,2,0.04751420021057129
55,40,77,74,27,52,27,56,2,0.13809871673583984
74,87,43,32,46,74,28,88,1,0.14244890213012695
68,70,50,7,63,27,72,0,1,0.2041327953338623
11,1,98,45,58,28,73,80,1,0.30406904220581055
40,21,25,91,92,97,87,98,0,3.3626434803009033
26,50,43,43,81,80,69,22,0,0.08118295669555664
96,80,37,80,10,42,9,88,0,0.3073413372039795
42,71,14,9,93,0,31,74,2,0.05277657508850098
57,84,39,51,17,40,46,73,2,0.06435441970825195
